1;14
1;20
1;23.5
1;25.5
1;27.5
1;22
1;17
1;15.5
1;25
1;16.25
1;23.75
1;17.25
1;26.5
1;7.75
1;17
1;17
1;20
1;24.5
1;14.5
1;2.75
1;23.25
1;14.5
1;20.25
1;13.25
1;4.75
1;19
1;2
1;29
1;14
1;16.5
1;21
1;25.5
1;18.5
1;12.25
1;16
1;24.5
2;3
2;19
2;15
2;5
2;11
2;21
2;16.5
2;10
2;17
2;18
2;28
2;29
2;12.5
2;22.5
2;3.5
2;2.5
2;10.5
2;6.5
2;4
2;12.5
2;9.5
2;14
2;17
2;5
2;16.5
2;12
2;15.5
2;14
2;20.5
2;4
2;10
2;20.5
2;10.5
3;23.5
3;1.5
3;16
3;29
3;23.5
3;20.5
3;17
3;28
3;14.5
3;25.25
3;23
3;8
3;28
3;14.25
3;27
3;24.5
3;28
3;15.5
3;17.5
3;11
3;6
3;21
3;18.5
3;17.5
3;9
3;21.75
3;13.5
3;14.5
3;24.5
3;15.5
3;11
3;24
3;7.5
3;22.25
3;13
3;25
3;13
3;11
50;16
50;15.5
50;26
50;16
50;23.5
50;11
50;21.5
50;19
50;10
50;8
50;15.5
