1;9
1;9.25
1;24
1;10.25
1;7.5
1;27
1;16
1;24
1;21.5
1;18.75
1;5.75
1;6.25
1;16.25
1;18
1;23.5
1;13.5
1;11.25
1;23.5
1;7.25
1;28.5
1;22.5
1;31
1;18.5
1;26
1;11.5
1;14.25
1;10
1;29
1;9
1;22.75
1;21
1;19
1;27.5
1;18
1;23.25
2;11.5
2;14
2;17.5
2;11
2;14.5
2;18.5
2;9
2;22
2;21.5
2;8
2;25.5
2;6.5
2;29
2;8.5
2;9.5
2;7.5
2;32
2;31.5
3;16.5
3;34
3;25
3;34
3;29.25
3;23
3;14.75
3;22
3;20.5
3;10
3;7
3;24.25
3;20.75
3;19.75
3;33
3;13.5
3;6.5
3;19.5
3;25
3;7.5
3;17
3;8.5
3;13.5
3;16
3;27.5
3;27.5
3;16.5
3;16.75
3;21
3;8.5
3;12.5
3;21.75
50;20.5
50;25
50;26.5
50;12.5
50;22.75
50;7.5
